department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
Emergency,23,Thursday,92,2,15,549
Neurology,13,Friday,31,7,16,273
Pediatrics,23,Thursday,72,7,1,89
General Medicine,7,Monday,26,3,16,298
Neurology,6,Monday,28,7,18,301
Emergency,7,Saturday,44,1,7,336
Pediatrics,12,Tuesday,78,1,19,600
Cardiology,5,Thursday,70,9,5,149
General Medicine,17,Tuesday,44,6,11,215
Neurology,1,Wednesday,10,5,17,326
Emergency,7,Sunday,22,6,1,51
Cardiology,10,Monday,85,6,18,352
Cardiology,0,Saturday,91,1,9,600
Orthopedics,21,Wednesday,34,5,2,74
Pediatrics,5,Saturday,25,9,11,227
Neurology,15,Sunday,66,4,15,318
Emergency,19,Sunday,14,3,11,186
Orthopedics,11,Friday,17,1,7,197
Pediatrics,10,Monday,80,2,4,263
Orthopedics,9,Wednesday,13,3,10,174
General Medicine,2,Friday,72,4,9,282
Pediatrics,12,Sunday,43,7,2,67
Pediatrics,2,Wednesday,28,6,8,181
Neurology,14,Saturday,38,8,11,194
Pediatrics,15,Friday,65,9,5,128
Orthopedics,12,Friday,45,6,18,317
Pediatrics,16,Monday,9,7,15,233
Neurology,2,Tuesday,83,4,13,374
Neurology,19,Saturday,54,2,3,188
General Medicine,10,Saturday,8,9,17,275
Orthopedics,20,Friday,55,9,9,175
Cardiology,18,Friday,56,4,17,331
Cardiology,21,Monday,43,3,11,243
Pediatrics,10,Tuesday,12,6,18,287
General Medicine,15,Saturday,49,3,7,199
Emergency,20,Sunday,92,1,0,466
Pediatrics,2,Thursday,32,4,13,301
General Medicine,21,Thursday,31,1,5,241
Orthopedics,5,Tuesday,69,2,13,454
Orthopedics,13,Wednesday,38,3,1,88
Orthopedics,23,Monday,85,8,8,219
Orthopedics,17,Tuesday,66,4,11,251
Orthopedics,16,Thursday,66,4,4,153
General Medicine,3,Friday,42,9,1,69
General Medicine,22,Thursday,30,7,18,365
Neurology,14,Friday,28,2,6,172
Cardiology,10,Monday,43,3,6,163
Orthopedics,2,Friday,25,4,9,218
Emergency,2,Tuesday,98,4,16,451
General Medicine,15,Friday,51,8,13,242
Emergency,4,Wednesday,52,6,10,238
Emergency,20,Tuesday,17,3,19,321
Emergency,9,Monday,7,9,5,81
Neurology,18,Tuesday,36,8,7,129
General Medicine,3,Wednesday,39,9,18,358
Emergency,18,Monday,23,5,18,305
Orthopedics,10,Thursday,18,3,16,277
Pediatrics,1,Wednesday,52,4,17,391
Emergency,9,Monday,90,5,11,266
Neurology,10,Sunday,85,9,8,161
General Medicine,19,Friday,72,9,15,272
Neurology,15,Tuesday,49,3,17,348
Emergency,18,Monday,23,7,15,249
General Medicine,22,Tuesday,68,6,15,357
Pediatrics,23,Friday,70,4,3,167
Emergency,10,Monday,83,5,6,180
Neurology,13,Thursday,70,2,0,180
Cardiology,1,Sunday,79,7,19,417
Orthopedics,22,Sunday,49,4,0,87
Neurology,4,Wednesday,91,2,7,415
General Medicine,4,Monday,78,6,7,228
Emergency,18,Friday,71,2,9,325
Orthopedics,20,Monday,73,2,0,186
Emergency,11,Tuesday,7,7,13,216
General Medicine,17,Saturday,42,1,13,417
Emergency,3,Monday,81,7,9,243
Cardiology,21,Sunday,46,5,18,331
Orthopedics,16,Sunday,87,1,15,600
Orthopedics,9,Sunday,44,6,8,165
General Medicine,19,Thursday,54,7,19,329
Cardiology,5,Monday,39,1,15,523
Neurology,13,Wednesday,28,9,19,323
Emergency,10,Monday,92,7,7,181
Pediatrics,10,Saturday,21,1,6,205
Emergency,17,Sunday,44,3,10,234
Emergency,22,Tuesday,78,5,5,198
Neurology,21,Sunday,70,4,14,300
Emergency,17,Monday,48,2,18,401
Cardiology,23,Thursday,27,1,13,409
Cardiology,22,Friday,10,4,14,280
Orthopedics,10,Monday,70,7,5,135
General Medicine,20,Monday,25,4,9,176
Pediatrics,11,Wednesday,39,9,13,216
Emergency,4,Thursday,33,8,15,302
Emergency,22,Saturday,11,8,12,241
Neurology,8,Friday,97,5,10,262
General Medicine,8,Sunday,57,1,2,322
Cardiology,21,Tuesday,41,9,7,132
Pediatrics,9,Monday,27,2,2,111
Orthopedics,21,Saturday,12,6,1,36
Cardiology,18,Friday,80,5,13,284
General Medicine,0,Tuesday,52,8,19,398
Orthopedics,6,Saturday,14,3,14,237
Neurology,3,Thursday,83,6,2,137
Neurology,0,Thursday,28,6,0,30
Emergency,14,Friday,94,3,14,372
General Medicine,7,Sunday,51,7,19,326
Pediatrics,11,Tuesday,57,4,1,93
Orthopedics,21,Thursday,43,5,17,309
Cardiology,21,Friday,71,9,0,52
General Medicine,17,Thursday,70,6,8,187
General Medicine,14,Thursday,10,4,2,46
Neurology,16,Saturday,25,8,1,30
Emergency,13,Saturday,77,9,3,102
Emergency,13,Thursday,78,5,15,316
Orthopedics,17,Wednesday,40,2,0,115
Neurology,19,Saturday,7,6,8,135
General Medicine,17,Tuesday,92,8,7,175
Pediatrics,15,Friday,90,5,5,171
Neurology,0,Friday,82,1,19,600
Orthopedics,22,Sunday,46,8,17,349
Orthopedics,10,Tuesday,49,9,15,258
Neurology,14,Tuesday,48,1,7,356
Orthopedics,11,Tuesday,95,8,3,115
Neurology,7,Sunday,37,2,2,137
Cardiology,21,Tuesday,64,4,14,293
Neurology,19,Monday,90,2,5,314
Neurology,5,Sunday,97,2,0,303
Orthopedics,2,Friday,87,3,17,498
Orthopedics,23,Monday,87,8,10,263
Emergency,12,Sunday,74,4,2,120
Emergency,12,Thursday,87,7,12,257
Cardiology,1,Thursday,81,3,16,468
Emergency,4,Friday,30,3,17,370
Neurology,16,Thursday,90,2,13,422
Orthopedics,5,Tuesday,25,6,6,149
Emergency,1,Sunday,6,6,6,126
Emergency,3,Monday,51,1,13,548
Cardiology,21,Tuesday,34,7,14,251
General Medicine,10,Thursday,31,4,11,215
Cardiology,7,Saturday,75,3,11,289
Neurology,11,Monday,24,8,7,124
Orthopedics,7,Tuesday,54,2,15,375
Cardiology,10,Sunday,99,9,8,185
Emergency,21,Friday,27,8,1,38
Orthopedics,19,Tuesday,17,8,13,217
Orthopedics,7,Saturday,85,3,15,373
Emergency,7,Thursday,8,4,4,73
Cardiology,16,Monday,18,2,4,120
Emergency,19,Friday,24,2,19,360
General Medicine,19,Monday,17,4,17,288
Orthopedics,22,Friday,7,6,17,315
Pediatrics,15,Sunday,94,5,4,173
Pediatrics,13,Monday,94,1,10,600
Neurology,10,Thursday,86,1,12,600
Emergency,6,Sunday,82,6,2,109
Emergency,15,Sunday,51,3,16,335
Neurology,12,Friday,7,3,17,278
Neurology,14,Wednesday,5,7,13,202
Neurology,23,Monday,94,1,11,600
Orthopedics,15,Monday,28,1,13,342
General Medicine,20,Tuesday,39,3,17,333
Emergency,22,Friday,18,8,19,368
Orthopedics,23,Saturday,71,1,1,450
Neurology,8,Wednesday,17,4,6,113
Emergency,2,Thursday,51,9,14,300
Orthopedics,18,Tuesday,54,4,9,207
General Medicine,19,Wednesday,82,8,14,264
Orthopedics,4,Friday,89,7,16,388
General Medicine,9,Wednesday,30,3,10,221
Neurology,16,Sunday,7,7,1,27
General Medicine,14,Monday,55,7,17,295
Emergency,22,Sunday,44,3,3,161
Neurology,7,Monday,72,2,8,311
Emergency,14,Tuesday,40,9,16,276
Pediatrics,20,Friday,55,1,16,521
Cardiology,13,Friday,5,7,16,248
General Medicine,19,Wednesday,37,4,15,280
Cardiology,6,Tuesday,11,2,19,323
Cardiology,20,Friday,56,2,7,251
General Medicine,22,Saturday,15,8,14,283
Neurology,11,Saturday,31,7,0,23
Pediatrics,16,Sunday,18,7,18,294
Emergency,16,Monday,90,5,14,310
Orthopedics,9,Wednesday,84,8,8,188
Emergency,18,Thursday,50,2,4,190
Orthopedics,13,Monday,80,2,15,438
Emergency,10,Tuesday,14,5,12,206
General Medicine,1,Friday,28,1,15,451
Pediatrics,17,Monday,65,6,10,209
Orthopedics,6,Thursday,22,4,12,213
Neurology,11,Thursday,90,6,5,158
Emergency,1,Saturday,13,7,19,362
Emergency,19,Tuesday,21,3,16,291
Orthopedics,17,Monday,62,8,4,109
Neurology,5,Wednesday,17,7,16,319
Neurology,23,Monday,54,1,0,327
General Medicine,9,Saturday,10,6,4,69
General Medicine,19,Sunday,89,7,4,132
General Medicine,14,Thursday,55,4,6,162
General Medicine,4,Tuesday,40,2,15,402
General Medicine,19,Tuesday,75,9,17,302
General Medicine,2,Wednesday,29,7,5,128
Pediatrics,4,Tuesday,15,1,1,115
Neurology,7,Saturday,48,8,12,222
General Medicine,7,Saturday,18,3,9,170
Neurology,7,Saturday,33,4,19,326
Neurology,11,Tuesday,78,5,10,242
Cardiology,23,Tuesday,54,1,1,349
Pediatrics,22,Saturday,9,6,7,155
General Medicine,7,Tuesday,76,6,18,340
Emergency,10,Tuesday,73,2,19,473
Orthopedics,13,Thursday,92,6,16,325
Emergency,7,Monday,61,8,15,270
Pediatrics,23,Friday,30,6,9,204
Orthopedics,9,Tuesday,10,4,4,84
Pediatrics,6,Friday,20,4,13,232
Neurology,16,Sunday,64,9,18,315
Orthopedics,3,Friday,16,6,3,72
Neurology,12,Thursday,79,8,19,352
Emergency,3,Tuesday,7,8,15,285
Emergency,4,Saturday,67,7,14,318
Orthopedics,21,Friday,68,3,8,242
Orthopedics,3,Tuesday,66,1,2,442
General Medicine,17,Wednesday,10,5,8,131
Pediatrics,5,Sunday,23,2,17,390
General Medicine,23,Saturday,22,2,3,127
Pediatrics,23,Wednesday,84,7,18,406
General Medicine,22,Wednesday,91,3,3,258
Neurology,21,Friday,47,8,8,164
Orthopedics,1,Wednesday,77,9,0,73
Emergency,22,Thursday,7,8,0,13
Pediatrics,10,Thursday,76,6,19,361
Pediatrics,13,Friday,42,5,18,324
Emergency,4,Tuesday,72,3,2,191
General Medicine,5,Monday,80,3,9,329
Pediatrics,9,Tuesday,48,7,11,214
Neurology,7,Tuesday,99,5,17,361
Orthopedics,13,Tuesday,93,6,13,283
Emergency,23,Tuesday,84,6,9,263
Orthopedics,2,Saturday,67,9,9,212
Pediatrics,11,Monday,46,1,17,489
Pediatrics,15,Saturday,68,8,0,65
Emergency,22,Wednesday,58,5,14,328
Neurology,16,Sunday,82,6,7,191
Cardiology,0,Tuesday,81,6,2,128
Emergency,22,Sunday,75,1,17,600
Cardiology,9,Thursday,80,3,8,261
General Medicine,22,Friday,41,6,15,322
Cardiology,9,Friday,8,9,14,231
Neurology,20,Saturday,6,6,4,78
General Medicine,23,Saturday,48,6,12,274
Cardiology,1,Thursday,71,1,19,600
General Medicine,8,Tuesday,72,9,6,140
Cardiology,21,Sunday,80,4,15,335
Neurology,12,Sunday,87,2,6,323
Cardiology,15,Monday,78,1,15,600
Cardiology,17,Wednesday,66,3,12,297
Cardiology,18,Friday,5,3,16,255
Emergency,11,Wednesday,21,5,8,150
Emergency,7,Monday,20,1,11,275
Emergency,16,Saturday,13,7,12,201
Neurology,14,Sunday,57,1,8,405
General Medicine,9,Friday,77,4,4,167
Pediatrics,14,Wednesday,63,6,6,153
Cardiology,14,Saturday,13,1,0,75
Cardiology,22,Monday,16,7,3,78
Neurology,6,Wednesday,45,7,3,70
Cardiology,12,Sunday,19,3,15,269
Emergency,16,Tuesday,70,4,4,152
Pediatrics,8,Saturday,79,6,3,123
Orthopedics,7,Monday,15,7,5,101
Cardiology,19,Wednesday,12,4,2,46
Emergency,20,Sunday,59,9,7,150
Orthopedics,17,Tuesday,10,9,16,249
Pediatrics,12,Tuesday,57,9,17,296
Orthopedics,15,Monday,24,6,17,284
Emergency,8,Thursday,43,2,11,286
General Medicine,11,Sunday,76,2,0,203
General Medicine,11,Sunday,38,4,11,223
Orthopedics,5,Friday,61,9,10,222
Neurology,18,Monday,23,3,12,215
Orthopedics,6,Tuesday,75,6,2,107
Cardiology,2,Tuesday,35,2,7,247
Cardiology,15,Monday,86,1,2,465
General Medicine,17,Thursday,44,5,16,295
Neurology,15,Friday,18,8,12,200
Emergency,22,Wednesday,85,2,9,435
Cardiology,6,Monday,41,9,16,273
General Medicine,3,Friday,48,8,2,89
Pediatrics,7,Sunday,13,3,12,208
General Medicine,12,Friday,62,1,5,396
Cardiology,12,Saturday,24,4,13,232
Cardiology,16,Tuesday,96,8,9,201
General Medicine,16,Wednesday,54,3,19,373
Emergency,4,Monday,24,2,15,359
Orthopedics,5,Tuesday,40,7,17,362
Cardiology,18,Saturday,31,4,12,221
General Medicine,12,Saturday,76,6,9,211
General Medicine,13,Tuesday,36,5,5,124
Neurology,21,Thursday,5,2,9,154
Orthopedics,3,Friday,21,2,4,142
Pediatrics,6,Monday,13,9,5,98
Emergency,7,Monday,88,2,6,325
Pediatrics,12,Monday,49,8,10,192
Orthopedics,5,Tuesday,70,8,15,331
Orthopedics,5,Sunday,36,1,11,432
Orthopedics,23,Thursday,49,1,11,498
Pediatrics,20,Wednesday,13,4,19,318
Orthopedics,2,Saturday,34,2,4,195
General Medicine,2,Tuesday,88,1,15,600
Pediatrics,12,Sunday,42,9,5,110
Orthopedics,21,Wednesday,64,3,8,223
General Medicine,1,Saturday,5,1,4,112
Neurology,15,Saturday,9,2,15,266
Orthopedics,21,Thursday,67,8,17,311
Pediatrics,5,Friday,40,5,18,386
Cardiology,7,Monday,69,7,11,220
Orthopedics,22,Wednesday,82,6,1,118
Cardiology,7,Tuesday,77,1,9,522
General Medicine,5,Wednesday,98,6,11,306
Neurology,13,Friday,28,7,13,233
Emergency,2,Monday,8,4,17,325
Neurology,9,Wednesday,82,8,18,334
Orthopedics,2,Friday,93,8,5,161
Cardiology,11,Tuesday,72,7,4,118
Cardiology,16,Thursday,29,2,15,308
Pediatrics,4,Sunday,78,6,13,326
Cardiology,19,Saturday,11,6,12,209
Pediatrics,8,Tuesday,17,7,1,34
General Medicine,20,Monday,72,6,1,87
Emergency,19,Saturday,47,2,11,295
Orthopedics,6,Sunday,61,8,0,45
Pediatrics,21,Tuesday,40,4,18,334
Emergency,3,Tuesday,18,9,15,298
Cardiology,12,Tuesday,86,8,6,152
Cardiology,12,Tuesday,76,3,6,227
Emergency,9,Saturday,31,3,15,281
Cardiology,17,Monday,41,8,5,106
General Medicine,16,Sunday,91,2,17,492
General Medicine,19,Friday,75,9,0,55
Emergency,19,Wednesday,80,4,0,108
Pediatrics,12,Thursday,29,6,13,226
Pediatrics,16,Sunday,71,3,5,202
Emergency,21,Wednesday,94,3,5,245
Pediatrics,3,Wednesday,8,3,3,73
Pediatrics,0,Thursday,83,2,11,464
General Medicine,0,Sunday,97,8,17,393
Pediatrics,14,Saturday,78,9,9,181
Neurology,12,Monday,89,8,2,94
Orthopedics,16,Thursday,20,3,2,76
Cardiology,23,Monday,23,7,7,146
Neurology,7,Saturday,33,2,0,87
Pediatrics,17,Wednesday,55,4,17,326
General Medicine,12,Monday,22,6,14,235
Emergency,22,Saturday,62,5,19,434
Pediatrics,13,Saturday,48,9,16,280
General Medicine,7,Friday,20,4,10,182
Orthopedics,7,Thursday,69,5,12,264
Pediatrics,14,Friday,6,4,19,305
Emergency,12,Wednesday,60,8,9,188
General Medicine,6,Thursday,83,8,12,241
General Medicine,4,Wednesday,32,3,16,367
General Medicine,16,Friday,69,1,0,371
Orthopedics,15,Sunday,9,6,19,300
Pediatrics,22,Saturday,26,2,15,359
Orthopedics,1,Wednesday,17,2,15,332
Cardiology,21,Thursday,69,3,2,154
Cardiology,17,Thursday,20,8,1,40
Pediatrics,16,Wednesday,90,3,5,235
Orthopedics,6,Thursday,68,7,10,201
Emergency,12,Saturday,36,9,2,60
General Medicine,17,Sunday,84,8,0,59
General Medicine,13,Saturday,55,1,10,426
Pediatrics,17,Thursday,83,7,12,255
Cardiology,12,Wednesday,62,7,4,111
Cardiology,10,Friday,50,8,17,298
General Medicine,20,Thursday,56,5,14,260
Pediatrics,20,Thursday,67,9,17,304
Orthopedics,15,Thursday,80,9,14,262
Cardiology,22,Thursday,64,8,19,392
Orthopedics,16,Wednesday,69,6,19,349
Cardiology,7,Friday,85,6,19,362
Cardiology,18,Friday,59,1,6,398
Neurology,19,Monday,61,6,16,301
Cardiology,14,Thursday,96,4,7,227
Emergency,8,Thursday,75,4,12,285
Pediatrics,19,Monday,77,2,15,417
Pediatrics,9,Friday,90,4,9,251
Orthopedics,11,Tuesday,30,5,13,235
Cardiology,20,Saturday,16,5,5,97
Emergency,22,Tuesday,75,5,19,451
Orthopedics,19,Friday,50,4,6,163
Neurology,0,Sunday,51,1,5,411
Orthopedics,19,Thursday,83,8,16,305
Orthopedics,8,Tuesday,42,3,7,182
Cardiology,21,Wednesday,25,2,11,232
Neurology,14,Wednesday,18,9,3,64
Orthopedics,0,Monday,6,7,9,184
Emergency,11,Friday,76,9,5,126
Emergency,2,Friday,74,2,6,345
Pediatrics,10,Tuesday,37,9,7,135
Neurology,1,Thursday,10,9,2,45
Neurology,15,Friday,94,9,7,159
Pediatrics,8,Tuesday,41,4,14,279
Orthopedics,14,Tuesday,18,3,0,34
Neurology,11,Saturday,41,6,12,220
Emergency,0,Saturday,12,3,17,347
Emergency,12,Friday,81,9,14,259
Cardiology,13,Tuesday,17,3,6,124
Neurology,7,Monday,44,2,14,328
Orthopedics,7,Monday,96,8,2,98
Pediatrics,11,Saturday,62,6,13,251
Pediatrics,0,Friday,22,8,19,369
Orthopedics,10,Thursday,61,7,3,101
General Medicine,7,Sunday,87,3,3,199
Cardiology,9,Monday,42,8,2,62
Pediatrics,18,Monday,36,1,4,254
Neurology,10,Saturday,90,1,10,600
Cardiology,6,Saturday,70,8,7,163
Neurology,10,Friday,81,9,1,64
Emergency,16,Saturday,91,6,15,305
Cardiology,0,Wednesday,29,5,9,211
Pediatrics,20,Sunday,96,2,17,505
Cardiology,20,Tuesday,62,9,6,128
Cardiology,7,Monday,79,6,4,137
Cardiology,22,Wednesday,37,8,6,148
General Medicine,23,Thursday,92,9,5,172
Cardiology,5,Wednesday,70,9,0,56
Neurology,21,Friday,34,8,10,188
Emergency,17,Thursday,85,8,12,250
Orthopedics,5,Thursday,38,3,11,281
Cardiology,4,Saturday,90,3,0,194
Pediatrics,12,Wednesday,73,2,14,401
Cardiology,18,Friday,52,1,0,268
Pediatrics,21,Monday,44,4,2,96
Neurology,7,Sunday,55,2,14,353
Pediatrics,8,Saturday,84,2,8,332
Orthopedics,16,Wednesday,17,5,13,219
Emergency,2,Monday,94,4,7,286
Pediatrics,18,Wednesday,35,1,3,228
Pediatrics,10,Saturday,43,9,19,318
Emergency,23,Monday,67,4,19,459
Orthopedics,16,Saturday,52,5,5,129
Cardiology,20,Wednesday,91,7,0,77
Pediatrics,18,Thursday,52,2,17,403
Emergency,1,Sunday,65,8,5,151
Neurology,7,Tuesday,16,2,13,235
Emergency,18,Sunday,82,5,10,241
Neurology,6,Thursday,60,2,16,403
Orthopedics,16,Saturday,22,2,8,185
Cardiology,5,Sunday,31,4,6,168
Emergency,18,Saturday,32,4,13,246
General Medicine,23,Saturday,86,8,16,358
Pediatrics,5,Monday,84,6,7,217
Orthopedics,1,Friday,56,8,15,321
Emergency,5,Saturday,20,7,11,229
Pediatrics,22,Sunday,81,4,11,324
Emergency,4,Sunday,62,2,4,282
Neurology,18,Sunday,97,9,4,111
Emergency,19,Thursday,13,2,13,228
General Medicine,3,Tuesday,30,1,5,285
Emergency,21,Saturday,32,8,6,122
Emergency,16,Saturday,81,9,16,294
General Medicine,10,Saturday,40,1,8,333
Orthopedics,3,Monday,13,7,12,242
Emergency,12,Saturday,51,2,8,257
General Medicine,19,Thursday,82,6,15,304
Pediatrics,16,Wednesday,55,5,3,94
Neurology,8,Friday,80,1,1,424
Neurology,3,Sunday,61,2,12,410
Emergency,22,Saturday,36,2,12,347
Orthopedics,13,Monday,71,6,18,335
Orthopedics,18,Thursday,61,1,11,479
Pediatrics,2,Saturday,58,4,3,161
Emergency,13,Monday,20,5,9,167
Neurology,7,Wednesday,66,2,15,400
Orthopedics,23,Tuesday,88,2,18,600
Emergency,0,Saturday,60,7,7,184
Orthopedics,9,Thursday,27,7,5,112
General Medicine,17,Monday,21,6,3,75
Orthopedics,15,Monday,84,1,6,511
Neurology,7,Saturday,42,3,13,271
Cardiology,0,Monday,76,9,12,265
Pediatrics,11,Tuesday,87,1,4,508
Pediatrics,7,Monday,34,2,8,217
Neurology,23,Sunday,62,8,2,91
Orthopedics,15,Friday,82,7,9,209
Emergency,17,Sunday,26,9,14,234
Orthopedics,3,Friday,21,4,19,401
Neurology,5,Monday,19,4,16,321
Pediatrics,11,Saturday,52,7,5,125
Orthopedics,8,Friday,36,1,2,218
Pediatrics,14,Thursday,81,9,17,306
Emergency,15,Friday,89,2,4,291
Pediatrics,23,Sunday,44,1,12,494
Pediatrics,11,Monday,61,7,0,53
Cardiology,23,Saturday,62,6,16,366
Cardiology,22,Wednesday,95,3,2,241
General Medicine,13,Saturday,20,1,18,387
Cardiology,12,Saturday,32,5,19,320
Pediatrics,1,Saturday,5,4,11,208
Neurology,2,Thursday,45,5,7,191
Pediatrics,23,Tuesday,52,1,7,445
Neurology,21,Sunday,35,1,14,399
Neurology,9,Monday,40,5,10,194
Cardiology,8,Tuesday,37,6,19,323
Orthopedics,19,Wednesday,37,5,0,45
Emergency,7,Tuesday,86,2,15,458
Cardiology,9,Monday,27,9,13,230
Cardiology,18,Sunday,64,5,6,158
Orthopedics,2,Sunday,91,5,5,198
Emergency,23,Monday,83,9,3,117
Pediatrics,4,Wednesday,94,3,7,325
General Medicine,2,Monday,34,5,18,376
General Medicine,15,Wednesday,93,5,2,132
Pediatrics,16,Wednesday,49,2,3,181
Cardiology,14,Monday,84,4,12,292
Emergency,2,Friday,43,2,1,160
Cardiology,11,Sunday,49,5,10,212
Neurology,8,Wednesday,82,2,15,441
Cardiology,20,Monday,85,9,9,195
Cardiology,11,Friday,16,6,14,224
Pediatrics,14,Sunday,97,8,9,206
Pediatrics,1,Wednesday,36,9,1,55
Pediatrics,22,Sunday,60,8,5,146
General Medicine,17,Friday,28,5,13,230
Neurology,19,Sunday,17,5,1,44
Pediatrics,11,Thursday,24,6,9,165
Emergency,22,Saturday,83,1,16,600
General Medicine,3,Thursday,60,8,7,181
Orthopedics,22,Friday,57,2,15,451
Emergency,15,Wednesday,72,6,13,261
